type,selection,id,disease,disease_subtype,label,filename,ref_genome,snp,a1,a2,frq,z,b,OR,se_beta,se_OR,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore,local_raw_path,remote_raw_path,shared_raw_path,local_preprocessed_path,remote_preprocessed_path,shared_preprocessed_path,munged,local_munged_path,remote_munged_path,shared_munged_path,wrangled,local_wrangled_path,remote_wrangled_path,shared_wrangled_path
NEU,subtype-family,GCST90012878,alzheimer's disease,family history,alzheimers-disease-family-history,GCST90012878.tsv.gz,,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,408942,,53042.0,,355900.0,INFO,SNP_ID,/home/maria/git/SOROLLA/SumStats/RAW/GCST90012878.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90012878.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90012878.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/alzheimers-disease-family-history_GCST90012878.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/alzheimers-disease-family-history_GCST90012878.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/alzheimers-disease-family-history_GCST90012878.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/alzheimers-disease-family-history_GCST90012878.sumstats.gz,,False,,,
NEU,main,GCST007511,alzheimer's disease,,alzheimers-late-onset-1,GCST007511.txt,,MarkerName,Effect_allele,Non_Effect_allele,,,Beta,,SE,,Pvalue,,63926,,21982.0,,41944.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST007511.txt,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST007511.txt,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST007511.txt,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/alzheimers-late-onset-1_GCST007511.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/alzheimers-late-onset-1_GCST007511.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/alzheimers-late-onset-1_GCST007511.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/alzheimers-late-onset-1_GCST007511.sumstats.gz,,False,,,
NEU,minor,GCST002245,alzheimer's disease,,alzheimers-late-onset-4,GCST002245.txt,,MarkerName,Effect_allele,Non_Effect_allele,,,Beta,,SE,,Pvalue,,55134,,17008.0,,37154.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST002245.txt,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST002245.txt,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST002245.txt,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/alzheimers-late-onset-4_GCST002245.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/alzheimers-late-onset-4_GCST002245.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/alzheimers-late-onset-4_GCST002245.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/alzheimers-late-onset-4_GCST002245.sumstats.gz,,False,,,
NEU,main,GCST90027164,amyotrophic lateral sclerosis,,lateral-sclerosis-1,GCST90027164.tsv.gz,,rsid,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,138086,,27205.0,,110881.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90027164.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90027164.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90027164.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/lateral-sclerosis-1_GCST90027164.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/lateral-sclerosis-1_GCST90027164.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/lateral-sclerosis-1_GCST90027164.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/lateral-sclerosis-1_GCST90027164.sumstats.gz,,False,,,
NEU,minor,GCST004692,amyotrophic lateral sclerosis,,lateral-sclerosis-2,GCST004692.tsv.gz,,variant_id,effect_allele,other_allele,freq,,beta,,standard_error,,p_value,,36052,,12577.0,controls,23475.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST004692.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST004692.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST004692.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/lateral-sclerosis-2_GCST004692.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/lateral-sclerosis-2_GCST004692.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/lateral-sclerosis-2_GCST004692.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/lateral-sclerosis-2_GCST004692.sumstats.gz,,False,,,
PSY,main,GCST008465,anorexia nervosa,anorexia nervosa,ANN-PGC-2019,GCST008465.tsv,,ID,ALT,REF,,,BETA,,SE,,PVAL,,72517,NCAS,16992.0,NCON,55525.0,IMPINFO,,/home/maria/git/SOROLLA/SumStats/RAW/GCST008465.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST008465.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST008465.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/ANN-PGC-2019_GCST008465.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/ANN-PGC-2019_GCST008465.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/ANN-PGC-2019_GCST008465.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/ANN-PGC-2019_GCST008465.sumstats.gz,,False,,,
PSY,main,GCST90225527,anxiety,,anxiety-2,GCST90225527.tsv,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,502477,,16079.0,,486398.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90225527.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90225527.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90225527.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/anxiety-2_GCST90225527.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/anxiety-2_GCST90225527.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/anxiety-2_GCST90225527.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/anxiety-2_GCST90225527.sumstats.gz,,False,,,
PSY,minor,GCST90225528,anxiety,,anxiety-any,GCST90225528.tsv,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,502474,,21606.0,,480868.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90225528.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90225528.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90225528.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/anxiety-any_GCST90225528.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/anxiety-any_GCST90225528.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/anxiety-any_GCST90225528.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/anxiety-any_GCST90225528.sumstats.gz,,False,,,
PSY,minor,GCST90225529,anxiety,,anxiety-others,GCST90225529.tsv,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,502468,,19596.0,,482872.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90225529.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90225529.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90225529.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/anxiety-others_GCST90225529.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/anxiety-others_GCST90225529.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/anxiety-others_GCST90225529.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/anxiety-others_GCST90225529.sumstats.gz,,False,,,
PSY,minor,GCST90042778,anxiety,,anxiety-1,GCST90042778.tsv.gz,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,P_noSPA,N,45569,,27846.0,,17723.0,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90042778.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90042778.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90042778.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/anxiety-1_GCST90042778.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/anxiety-1_GCST90042778.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/anxiety-1_GCST90042778.tsv,True,,/gpfs/projects/bsc02/mflores/gencor/SumStats/Munged/anxiety-1_GCST90042778.sumstats.gz,,False,,,
